id_review,name,review,rate
225.0,Noor Tjahjo Dirgantoro,"Barang ok, smoga awet. trim's",5
226.0,sartono,harga produk,5
227.0,Antok Gondrong,istimewa berfungsi dgn baik,5
228.0,sabarwahyudin,harga kualitas fungsi produk,5
229.0,syaifullah,fungsi and yes,5
230.0,I***h,harga kualitas fungsi produk,5
231.0,a***i,harga fungsi produk,5
232.0,Agus Setiyawan Widodo,harga kualitas fungsi produk berfungsi dengan baik,5
233.0,arif purwadi,"Udah nyampe boss, makasih deh dites juga oke...semoga awet",5
234.0,eko wahyudi,yes pokok nya bukalapak jos,5
235.0,Ridwan Sidiq Sr.,harga kualitas fungsi produk,5
236.0,Abu Zarkani,harga kualitas produk ok,5
237.0,N***k,"Test fungsi ok, sesuai deskripsi. Tengkyu",5
238.0,Aliu,barang sdh sy terima dengan baik,5
239.0,santojaya,sesuai sama hargany,5
240.0,Yoan D Rahmanto,harga kualitas fungsi produk,5
241.0,Arie Rahmadiansyah,harga kualitas fungsi produk,5
242.0,Kalian Suardi,Sip,5
243.0,muhamad riansah,"Barang udah nyampe, tpi belum di coba smoga berfungsi semua dan awet",5
244.0,Udih Rudiansah,baru sampe semoga produk kualitas nya bagus fungsi dengan baik dan harga nya murah,5
245.0,Rahmat Rahadi,"harga murah dan kualitas bagus
fungsi produk  oke
cepat sekali kirimnya 
sempurna 😍",5
246.0,Arieadly,harga kualitas fungsi produk,5
247.0,M***a,Barang bagus harga berkualitas mantap lah pokonya  sangat rekomendet,5
248.0,Hendra Yatno,Lanjutkan dan pertahankan,5
249.0,rudi yansyah,kualitas fungsi harga produk,5
250.0,arif purwadi,"Udah nyampe boss, makasih deh dites juga oke...semoga awet",5
251.0,Mas Timen87,Bagus,5
252.0,L***a,Good..murah dan bagus,5
253.0,arif purwadi,"Udah nyampe boss, makasih deh dites juga oke...semoga awet",5
254.0,L***a,Good..murah dan bagus,5
255.0,indra radisepta,"fungsi normal,harga murah,kualitas  semoga awet",5
256.0,eko wahyudi,yes pokok nya bukalapak jos,5
257.0,Ridwan Sidiq Sr.,harga kualitas fungsi produk,5
258.0,Abu Zarkani,harga kualitas produk ok,5
259.0,N***k,"Test fungsi ok, sesuai deskripsi. Tengkyu",5
260.0,Aliu,barang sdh sy terima dengan baik,5
261.0,santojaya,sesuai sama hargany,5
262.0,Yoan D Rahmanto,harga kualitas fungsi produk,5
263.0,Muhamad Catur Pamungkas,Lumayan dengan harga segini,5
264.0,made andrianto,fungsi kualitas harga good,5
265.0,mochamad syarif,harga murah respon cepat,5
266.0,Iis isnawati,Saya suka terima kash 😊😊,5
267.0,Etin Supiatin,harga kualitas,5
268.0,A Budi Cahyono,Harga kualitas fungsi produk ok,5
269.0,kosmas ngarso,"Cocok untuk power supply, kurang baik untuk charger.",5
270.0,Maman Emen,fungsi,5
271.0,Dena Erlinawati,"berfungsi dgn baik, harga juga murah.. maksih",5
272.0,Buyung Kartika Alam,Ampere OK,5
273.0,Aliu,barang sdh sy terima dengan baik,5
274.0,santojaya,sesuai sama hargany,5
275.0,Yoan D Rahmanto,harga kualitas fungsi produk,5
276.0,Arie Rahmadiansyah,harga kualitas fungsi produk,5
277.0,Kalian Suardi,Sip,5
278.0,agit deni kurniawan,harga kualitas ok,5
279.0,Sinici Prio,harga murah kualitas tidak murahan,5
280.0,samsiana,bintang yg bicara,5
281.0,Komang Yartama,Harga  kualitas  fungsi  produk,5
282.0,Danish Store,Ga fungsi charger nya... kualitas sesuai harga lah..,5
283.0,kosmas ngarso,"Cocok untuk power supply, kurang baik untuk charger.",5
284.0,gatot adi susanto,Barang murah dan bagus .....dapat digunakan dengan baik,5
285.0,A. Darami,"cepat sampai, sesuai pesanan",5
286.0,Senja Diana Rosai,harga fungsi produk kualitas,5
287.0,Buyung Kartika Alam,Ampere OK,5
288.0,Fahrudin,Barang sudah diterima sesuai dengan pesanan,5
289.0,khasanul maarif,harga fungsi kualitas,5
290.0,f***h,harga kualitas fungsi produk,5
291.0,Bu Tong,kualitas masih segel dan berfungsi.,5
292.0,dini yustesia,harga kualitas fungsi produk,5
293.0,wahidabdullah,Beli 4 normal semua.trmksh bos,5
294.0,Yanuar Arifin,harga kualitas fungsi produk,5
295.0,D***n,"harga kualitas fungsi produk Mantap...
pengiriman super cepat",5
296.0,sudarsono,kualitas fungsi produk,5
297.0,junius99,Barang sdh sampai tq.,5
298.0,sujarmanto,Bagus,5
299.0,Mahdihakiki,Harga murah kualitas  produk sesuai fungsi nyq,5
300.0,Zhafran Syarief,Mantab,5
301.0,wagiyoko,Terjangkau,5
302.0,Januar Sutrisna,Mantul Coba Langsung Jos,5
303.0,Yadi23,kualitas produk fungsi harga,5
304.0,murlin,Udah ditrimah dgn baik,5
305.0,Bene Mabes,Respon cepat barang sesuai trims,5
306.0,Yoga Muhammad Dewantara,harga kualitas fungsi produk,5
307.0,S***O,"harga kualitas fungsi produk , sip barang murah fungsi normal semua, moga2 awet, cuma paking yg krg sip, g papa lah namanya juga harga murah sebanding",5
308.0,nurjaya,Ok,5
309.0,Saiful Ikram,"harga terjangkau, kualitas bagus dah ajib",5
310.0,C***n,Barang bagus banget,5
311.0,Ikbal Yantoro,harga kualitas fungsi produk berfungsi seperti adapter lainnya,5
312.0,n***n,harga kualitas fungsi produk,5
313.0,pupung a. gumilar,harga fungsi produk ok,5
314.0,fajar yudhistira,harga kualitas fungsi produk oke mantuuul,5
315.0,Muhamad Catur Pamungkas,Lumayan dengan harga segini,5
316.0,irwan andriyanto,harga kualitas fungsi produk,5
317.0,made andrianto,fungsi kualitas harga good,5
318.0,mochamad syarif,harga murah respon cepat,5
319.0,Iis isnawati,Saya suka terima kash 😊😊,5
320.0,Etin Supiatin,harga kualitas,5
321.0,Heri Yanto,Barangnya lumayan tapi belum d test,5
322.0,A Budi Cahyono,Harga kualitas fungsi produk ok,5
323.0,mohamad soleh,semoga awet,5
324.0,nurjaya,Ok,5
325.0,Ikbal Yantoro,harga kualitas fungsi produk berfungsi seperti adapter lainnya,5
326.0,D***u,harga kualitas fungsi produk,5
327.0,Mbenk,harga kualitas fungsi produk,5
328.0,Carla m,"harga kualitas fungsi produk semua baik, puas",5
329.0,Teizo,harga/kualitas bagus,5
330.0,Muhamad Subron,Good job,5
331.0,Singgih Adhimantoro,Biarkan bintang yang berbicara,5
332.0,Taufik,sesuai dng Harga,5
333.0,Didins Syah,harga kualitas fungsi produk,5
334.0,Usep Saepudin,Bagus...,5
335.0,Nur Rohman,fungsi kualitas harga produk,5
336.0,daffa yazdan,sesuai deh pokok nya,5
337.0,hagni surendro,"Terima kasih gan, paket sudah terima dengan baik",5
338.0,hafid setiawan,"Cepat sampai nya barang sesuai pesanan, trims",5
339.0,Ratih Ayu Pratiwi,mantap 2ampere. sip .murah. tp brkualitas,5
340.0,imam,batok charger bagus sesuai dgn iklan,5
341.0,Quick Buyer,Barang sudah saya terima sesuai pesanan..terima kasih..semoga banyak order..,5
342.0,sigit hermawan,"Pengiriman cpt,Pokoknya mantap lah,",5
343.0,Senja Diana Rosai,harga fungsi produk kualitas,5
344.0,Buyung Kartika Alam,Ampere OK,5
345.0,indrayana,Harga murah berfungsi dengan baik,5
346.0,Fahrudin,Barang sudah diterima sesuai dengan pesanan,5
347.0,khasanul maarif,harga fungsi kualitas,5
348.0,f***h,harga kualitas fungsi produk,5
349.0,Bu Tong,kualitas masih segel dan berfungsi.,5
